algorithm,config,recall,cdf_0.0,cdf_0.1,cdf_0.2,cdf_0.3,cdf_0.4,cdf_0.5,cdf_0.6,cdf_0.7,cdf_0.8,cdf_0.9,cdf_1.0
HNSW,angular_M_16_efConstruction_300_ef_120,0.897220,1.000000,0.997400,0.995600,0.991200,0.985100,0.974200,0.950000,0.912400,0.852000,0.750200,0.564100
DiskANN,euclidean_L_300_R_16_buildthreads_64_Ls_120_T_16,0.900610,1.000000,0.999000,0.997100,0.995000,0.987600,0.974500,0.955200,0.917000,0.857600,0.754500,0.568600
Zilliz,euclidean_L_300_R_32_buildthreads_64_ef_45,0.905540,1.000000,0.999700,0.999100,0.997200,0.992500,0.983700,0.967400,0.931000,0.869900,0.761300,0.553600
IVFFlat,angular_n_list_10000_n_probe_20,0.904510,1.000000,0.999900,0.999400,0.997900,0.993200,0.983900,0.963000,0.924400,0.857300,0.749900,0.576200
ScaNN,euclidean_dim_96_download_false_metric_l2_tree_size_40000_leaves_to_search_30_reorder_150,0.897520,1.000000,0.999900,0.999100,0.997700,0.994500,0.987700,0.973700,0.940500,0.874400,0.736900,0.470800
Puck,euclidean_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_50,0.901000,1.000000,0.999500,0.998800,0.997200,0.992100,0.981600,0.960900,0.926900,0.866900,0.746400,0.539700
