algorithm,config,recall,cdf_0.0,cdf_0.1,cdf_0.2,cdf_0.3,cdf_0.4,cdf_0.5,cdf_0.6,cdf_0.7,cdf_0.8,cdf_0.9,cdf_1.0
HNSW,euclidean_M_32_efConstruction_300_ef_100,0.896667,1.000000,0.989903,0.982330,0.974212,0.965138,0.952108,0.933074,0.905956,0.863078,0.784827,0.616046
DiskANN,euclidean_L_300_R_32_buildthreads_64_Ls_50_T_16,0.898840,1.000000,0.981580,0.974724,0.967117,0.955894,0.943069,0.925126,0.900634,0.864067,0.803247,0.672943
Zilliz,euclidean_L_500_R_32_buildthreads_64_ef_50,0.903646,1.000000,0.984445,0.977487,0.970119,0.960499,0.948868,0.931744,0.905956,0.869184,0.807921,0.680243
IVFFlat,euclidean_n_list_10000_n_probe_60,0.893208,1.000000,0.999557,0.997476,0.993007,0.984138,0.968481,0.944501,0.904216,0.840565,0.741404,0.558739
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_30_reorder_150,0.897326,1.000000,0.998977,0.995838,0.991370,0.983490,0.969948,0.946309,0.907593,0.848854,0.754127,0.576750
Puck,euclidean_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_60,0.905181,1.000000,0.991472,0.984855,0.976156,0.965855,0.952961,0.934575,0.908241,0.869355,0.805226,0.663119
