algorithm,config,recall,cdf_0.0,cdf_0.1,cdf_0.2,cdf_0.3,cdf_0.4,cdf_0.5,cdf_0.6,cdf_0.7,cdf_0.8,cdf_0.9,cdf_1.0
HNSW,angular_M_64_efConstruction_500_ef_256,0.908219,1.000000,0.986020,0.981920,0.977660,0.972750,0.965450,0.954120,0.931680,0.882590,0.761170,0.212940
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_150_T_16,0.905212,1.000000,0.989420,0.985870,0.982140,0.978080,0.971390,0.959240,0.933940,0.877120,0.734100,0.174910
Zilliz,ip_L_500_R_48_buildthreads_64_ef_180,0.902914,1.000000,0.990740,0.987250,0.983590,0.979120,0.971980,0.958910,0.930900,0.870280,0.721570,0.161680
IVFFlat,angular_n_list_10000_n_probe_64,0.916726,1.000000,0.999790,0.999360,0.998330,0.995920,0.989410,0.974020,0.940850,0.871740,0.725240,0.252640
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_80_reorder_500,0.907572,1.000000,0.999990,0.999950,0.999740,0.998290,0.992830,0.976560,0.940150,0.861190,0.686550,0.121350
Puck,ip_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_300,0.902810,1.000000,0.993840,0.990660,0.987050,0.982020,0.974220,0.959240,0.928800,0.864620,0.712390,0.173710
