algorithm,config,recall,robustness_0.1,robustness_0.3,robustness_0.5,robustness_0.7,robustness_0.9,qps
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_100_T_16,0.914026,0.981980,0.971480,0.958080,0.928330,0.833310,7897.88
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_100_T_64,0.914026,0.981980,0.971480,0.958080,0.928330,0.833310,9398.66
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_120_T_16,0.926532,0.984620,0.975670,0.964940,0.940770,0.859010,6910.62
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_120_T_64,0.926532,0.984620,0.975670,0.964940,0.940770,0.859010,8318.02
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_150_T_16,0.939900,0.987520,0.980280,0.971720,0.953600,0.886310,5864.65
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_150_T_64,0.939900,0.987520,0.980280,0.971720,0.953600,0.886310,7285.85
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_200_T_16,0.954056,0.990490,0.985010,0.979020,0.966020,0.915290,4816.85
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_200_T_64,0.954056,0.990490,0.985010,0.979020,0.966020,0.915290,5914.93
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_20_T_16,0.731952,0.933510,0.888210,0.822260,0.707200,0.494630,24141.23
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_20_T_64,0.731952,0.933510,0.888210,0.822260,0.707200,0.494630,22878.68
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_30_T_16,0.790235,0.950850,0.919640,0.873610,0.783440,0.593300,18630.76
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_30_T_64,0.790235,0.950850,0.919640,0.873610,0.783440,0.593300,17622.27
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_50_T_16,0.852061,0.967410,0.947510,0.919050,0.859940,0.709380,13117.90
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_50_T_64,0.852061,0.967410,0.947510,0.919050,0.859940,0.709380,12877.88
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_70_T_16,0.885061,0.975340,0.960370,0.940650,0.897810,0.774490,10501.12
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_70_T_64,0.885061,0.975340,0.960370,0.940650,0.897810,0.774490,11273.68
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_85_T_16,0.901582,0.979130,0.966620,0.950620,0.915710,0.808280,9011.86
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_85_T_64,0.901582,0.979130,0.966620,0.950620,0.915710,0.808280,9642.05
