algorithm,config,recall,robustness_0.1,robustness_0.3,robustness_0.5,robustness_0.7,robustness_0.9,qps
Puck,ip_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_165,0.840163,0.989790,0.977120,0.946280,0.847280,0.512650,12703.05
Puck,ip_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_170,0.843927,0.990100,0.977710,0.948240,0.852860,0.523460,13209.52
Puck,ip_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_175,0.847473,0.990390,0.978310,0.950180,0.857640,0.534170,12656.91
Puck,ip_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_190,0.857170,0.991020,0.980000,0.955090,0.871130,0.563590,12169.46
Puck,ip_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_200,0.863128,0.991490,0.981080,0.957730,0.879180,0.582350,11531.48
Puck,ip_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_30,0.768740,0.985290,0.961950,0.900180,0.729190,0.320600,18746.96
Puck,ip_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_300,0.902810,0.993840,0.987050,0.974220,0.928800,0.712390,8584.07
Puck,ip_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_350,0.915325,0.994690,0.988900,0.978480,0.941780,0.754120,7793.24
Puck,ip_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_50,0.768740,0.985290,0.961950,0.900180,0.729190,0.320600,18635.81
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_100_reorder_150,0.731566,0.999960,0.996330,0.950500,0.689930,0.031770,15346.23
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_100_reorder_30,0.600829,0.999900,0.989370,0.861680,0.137100,0.000000,15060.07
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_100_reorder_500,0.917179,0.999990,0.999830,0.994990,0.953510,0.722620,14091.85
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_10_reorder_150,0.623274,0.998380,0.940460,0.749000,0.420250,0.025720,23714.89
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_10_reorder_30,0.534320,0.997910,0.919940,0.648590,0.117510,0.000110,24997.78
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_10_reorder_500,0.721629,0.998790,0.956290,0.818230,0.594730,0.288040,20131.21
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_30_reorder_150,0.695330,0.999930,0.987700,0.893260,0.580320,0.029040,20512.73
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_30_reorder_30,0.580268,0.999790,0.975170,0.791130,0.131090,0.000030,22362.02
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_30_reorder_500,0.844292,0.999960,0.996340,0.958390,0.828940,0.503230,16552.60
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_33_reorder_150,0.699535,0.999930,0.989450,0.900500,0.591710,0.029480,21762.84
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_33_reorder_30,0.582726,0.999810,0.977150,0.799610,0.131510,0.000020,21781.41
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_33_reorder_500,0.852183,0.999960,0.997040,0.964330,0.844600,0.522200,16515.25
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_35_reorder_150,0.702006,0.999920,0.990230,0.904580,0.598140,0.029520,18620.20
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_35_reorder_30,0.584178,0.999810,0.978150,0.804690,0.131700,0.000020,20437.01
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_35_reorder_500,0.856888,0.999970,0.997580,0.967450,0.853660,0.534420,16988.52
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_40_reorder_150,0.707118,0.999940,0.991880,0.913640,0.612680,0.030030,19607.49
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_40_reorder_30,0.587143,0.999810,0.980450,0.814190,0.132410,0.000010,18918.20
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_40_reorder_500,0.866894,0.999970,0.998410,0.974030,0.872110,0.561780,18704.82
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_45_reorder_150,0.711289,0.999930,0.993090,0.920230,0.624800,0.030370,18460.45
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_45_reorder_30,0.589510,0.999810,0.982460,0.822360,0.132790,0.000010,21345.37
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_45_reorder_500,0.875113,0.999970,0.998840,0.979090,0.887050,0.585000,20438.42
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_50_reorder_150,0.714751,0.999920,0.993990,0.926480,0.634890,0.030760,18521.92
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_50_reorder_30,0.591486,0.999800,0.984310,0.828710,0.133830,0.000010,18225.25
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_50_reorder_500,0.881989,0.999970,0.999230,0.983240,0.899070,0.604830,16473.54
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_80_reorder_150,0.727100,0.999960,0.995980,0.944950,0.674060,0.031430,19167.06
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_80_reorder_30,0.598427,0.999900,0.988010,0.852830,0.136270,0.000000,16291.62
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_80_reorder_500,0.907572,0.999990,0.999740,0.992830,0.940150,0.686550,16404.60
Zilliz,ip_L_500_R_48_buildthreads_64_ef_100,0.832390,0.984200,0.970860,0.943850,0.851350,0.506840,59563.73
