algorithm,config,recall,robustness_0.1,robustness_0.3,robustness_0.5,robustness_0.7,robustness_0.9,qps
Puck,euclidean_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_15,0.719900,0.995200,0.955200,0.848500,0.656300,0.365000,35080.02
Puck,euclidean_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_20,0.772160,0.997500,0.974800,0.900500,0.739100,0.458500,37893.68
Puck,euclidean_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_30,0.836670,0.999100,0.990000,0.948400,0.839600,0.594700,35747.56
Puck,euclidean_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_50,0.901000,0.999500,0.997200,0.981600,0.926900,0.746400,27786.80
Puck,euclidean_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_60,0.918130,0.999700,0.998100,0.988100,0.946300,0.792700,23466.44
Puck,euclidean_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_70,0.931400,0.999900,0.998700,0.991100,0.960100,0.827700,21810.94
Puck,euclidean_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_80,0.941840,0.999900,0.999300,0.994900,0.968900,0.856400,20782.30
Puck,euclidean_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_90,0.949850,0.999900,0.999700,0.996300,0.975500,0.879500,18126.67
ScaNN,euclidean_dim_96_download_false_metric_l2_tree_size_40000_leaves_to_search_100_reorder_150,0.924480,0.999800,0.998400,0.993100,0.970100,0.821000,14861.72
ScaNN,euclidean_dim_96_download_false_metric_l2_tree_size_40000_leaves_to_search_100_reorder_50,0.769330,0.999000,0.991100,0.953800,0.776300,0.366100,19683.86
ScaNN,euclidean_dim_96_download_false_metric_l2_tree_size_40000_leaves_to_search_10_reorder_150,0.818250,0.999600,0.988700,0.941700,0.812600,0.552900,39238.12
ScaNN,euclidean_dim_96_download_false_metric_l2_tree_size_40000_leaves_to_search_10_reorder_50,0.727110,0.998900,0.981300,0.904200,0.684200,0.309200,43009.77
ScaNN,euclidean_dim_96_download_false_metric_l2_tree_size_40000_leaves_to_search_120_reorder_150,0.925650,0.999800,0.998400,0.993200,0.971500,0.823400,13472.58
ScaNN,euclidean_dim_96_download_false_metric_l2_tree_size_40000_leaves_to_search_120_reorder_50,0.768680,0.999000,0.991100,0.953900,0.774500,0.365200,18149.49
ScaNN,euclidean_dim_96_download_false_metric_l2_tree_size_40000_leaves_to_search_150_reorder_150,0.926780,0.999800,0.998400,0.993200,0.971800,0.826600,12082.70
ScaNN,euclidean_dim_96_download_false_metric_l2_tree_size_40000_leaves_to_search_150_reorder_50,0.767420,0.999000,0.991100,0.953800,0.771600,0.362100,16174.66
ScaNN,euclidean_dim_96_download_false_metric_l2_tree_size_40000_leaves_to_search_180_reorder_150,0.927080,0.999800,0.998400,0.993200,0.971900,0.829100,11873.26
ScaNN,euclidean_dim_96_download_false_metric_l2_tree_size_40000_leaves_to_search_180_reorder_50,0.766510,0.999000,0.991100,0.953600,0.770100,0.359800,14753.79
ScaNN,euclidean_dim_96_download_false_metric_l2_tree_size_40000_leaves_to_search_20_reorder_150,0.876880,0.999900,0.996900,0.979300,0.908800,0.682900,27108.42
ScaNN,euclidean_dim_96_download_false_metric_l2_tree_size_40000_leaves_to_search_20_reorder_50,0.758510,0.999000,0.989300,0.940000,0.749100,0.354900,29154.59
ScaNN,euclidean_dim_96_download_false_metric_l2_tree_size_40000_leaves_to_search_30_reorder_150,0.897520,0.999900,0.997700,0.987700,0.940500,0.736900,21207.43
ScaNN,euclidean_dim_96_download_false_metric_l2_tree_size_40000_leaves_to_search_30_reorder_50,0.767230,0.999000,0.990500,0.950600,0.767600,0.366800,23440.52
ScaNN,euclidean_dim_96_download_false_metric_l2_tree_size_40000_leaves_to_search_35_reorder_150,0.903560,0.999900,0.998000,0.989500,0.949700,0.754200,18896.10
ScaNN,euclidean_dim_96_download_false_metric_l2_tree_size_40000_leaves_to_search_35_reorder_50,0.768640,0.999000,0.990800,0.951500,0.772400,0.371200,21185.22
ScaNN,euclidean_dim_96_download_false_metric_l2_tree_size_40000_leaves_to_search_40_reorder_150,0.908010,0.999900,0.998100,0.990500,0.955700,0.767700,17058.09
ScaNN,euclidean_dim_96_download_false_metric_l2_tree_size_40000_leaves_to_search_40_reorder_50,0.769670,0.999000,0.990900,0.953100,0.774800,0.371500,22671.75
ScaNN,euclidean_dim_96_download_false_metric_l2_tree_size_40000_leaves_to_search_45_reorder_150,0.911470,0.999900,0.998300,0.990900,0.959300,0.778700,16113.01
ScaNN,euclidean_dim_96_download_false_metric_l2_tree_size_40000_leaves_to_search_45_reorder_50,0.770440,0.999000,0.991200,0.952500,0.778100,0.372500,21300.43
ScaNN,euclidean_dim_96_download_false_metric_l2_tree_size_40000_leaves_to_search_50_reorder_150,0.914330,0.999900,0.998300,0.991500,0.962600,0.787700,14757.65
ScaNN,euclidean_dim_96_download_false_metric_l2_tree_size_40000_leaves_to_search_50_reorder_50,0.770640,0.999000,0.991200,0.953000,0.779800,0.373800,19619.55
ScaNN,euclidean_dim_96_download_false_metric_l2_tree_size_40000_leaves_to_search_80_reorder_150,0.922360,0.999800,0.998400,0.992600,0.968900,0.814200,18588.72
ScaNN,euclidean_dim_96_download_false_metric_l2_tree_size_40000_leaves_to_search_80_reorder_50,0.770360,0.999000,0.991200,0.953100,0.778200,0.369600,22303.66
Zilliz,euclidean_L_300_R_32_buildthreads_64_ef_10,0.655030,0.983100,0.920000,0.779200,0.572600,0.271200,282305.94
Zilliz,euclidean_L_300_R_32_buildthreads_64_ef_15,0.745750,0.993900,0.961500,0.869800,0.696800,0.423500,221815.22
Zilliz,euclidean_L_300_R_32_buildthreads_64_ef_20,0.796050,0.996400,0.979100,0.916100,0.774200,0.511200,189087.63
Zilliz,euclidean_L_300_R_32_buildthreads_64_ef_25,0.831720,0.997900,0.987700,0.944900,0.832600,0.579500,166426.77
Zilliz,euclidean_L_300_R_32_buildthreads_64_ef_30,0.857350,0.998600,0.991900,0.959300,0.869200,0.640700,150064.01
Zilliz,euclidean_L_300_R_32_buildthreads_64_ef_35,0.876840,0.999100,0.994300,0.970900,0.895800,0.686400,136537.33
Zilliz,euclidean_L_300_R_32_buildthreads_64_ef_40,0.892470,0.999400,0.996200,0.978300,0.915200,0.727500,124002.68
Zilliz,euclidean_L_300_R_32_buildthreads_64_ef_45,0.905540,0.999700,0.997200,0.983700,0.931000,0.761300,111201.65
Zilliz,euclidean_L_300_R_32_buildthreads_64_ef_50,0.915840,0.999700,0.997700,0.987000,0.941800,0.791500,107215.26
Zilliz,euclidean_L_300_R_32_buildthreads_64_ef_55,0.924390,0.999700,0.998600,0.989500,0.950500,0.814000,98024.78
Zilliz,euclidean_L_300_R_32_buildthreads_64_ef_60,0.932010,0.999700,0.998800,0.991400,0.958600,0.835200,90009.61
Zilliz,euclidean_L_300_R_32_buildthreads_64_ef_65,0.938470,0.999700,0.999000,0.992900,0.965100,0.853100,85423.36
Zilliz,euclidean_L_300_R_32_buildthreads_64_ef_70,0.943630,0.999700,0.999200,0.994200,0.970700,0.864800,79442.24
Zilliz,euclidean_L_300_R_32_buildthreads_64_ef_75,0.948220,0.999700,0.999200,0.995100,0.974500,0.878400,75321.70
Zilliz,euclidean_L_300_R_32_buildthreads_64_ef_80,0.952520,0.999800,0.999400,0.995900,0.977800,0.890800,69690.42
